scene,method,budget,seed,miou_selected,f1_selected,miou_query,f1_query
Instance_1/Printing_area,uniform,3,0,0.5920304656028748,0.738543689250946,0.5897303223609924,0.7315837740898132
Instance_1/Printing_area,nbv,3,0,0.5452099442481995,0.6784479022026062,0.566575825214386,0.7201307415962219
Instance_1/Printing_area,random,3,0,0.6994805932044983,0.822365939617157,0.5606412291526794,0.7145969867706299
Instance_1/Printing_area,random,3,1,0.6942154765129089,0.816335916519165,0.6421906352043152,0.7687726020812988
Instance_1/Printing_area,uniform,5,0,0.6138302087783813,0.7557326555252075,0.5863214135169983,0.7301271557807922
Instance_1/Printing_area,nbv,5,0,0.5692617297172546,0.7086778879165649,0.6705883741378784,0.8005335927009583
Instance_1/Printing_area,random,5,0,0.6720777153968811,0.8028643727302551,0.6247443556785583,0.7658908367156982
Instance_1/Printing_area,random,5,1,0.6199023127555847,0.763184666633606,0.591594398021698,0.7330377697944641
Instance_1/Zen,all,25,0,0.47398626804351807,0.6081147193908691,0.536830723285675,0.6643891930580139
Instance_1/Zen,uniform,3,0,0.5177428722381592,0.6671940684318542,0.5091233253479004,0.6689903140068054
Instance_1/Zen,nbv,3,0,0.49004891514778137,0.6388259530067444,0.4570748805999756,0.6192024350166321
Instance_1/Zen,random,3,0,0.6348558068275452,0.772418737411499,0.5427952408790588,0.6999452710151672
Instance_1/Zen,random,3,1,0.19625306129455566,0.3101928234100342,0.4218828082084656,0.573255717754364
Instance_1/Zen,uniform,5,0,0.43822503089904785,0.5924545526504517,0.4251537024974823,0.5877029895782471
Instance_1/Zen,nbv,5,0,0.30680233240127563,0.40777379274368286,0.29463955760002136,0.4253635108470917
Instance_1/Zen,random,5,0,0.6349269151687622,0.7729074358940125,0.5508190393447876,0.7054636478424072
Instance_1/Zen,random,5,1,0.21319130063056946,0.3256669044494629,0.38424283266067505,0.5353544354438782
Instance_1/Cantina,nbv_dopt,3,0,0.3443237841129303,0.5088545680046082,0.2991667687892914,0.44076457619667053
Instance_1/Cantina,nbv_dopt,5,0,0.4039629399776459,0.5649765729904175,0.3720071315765381,0.5229762196540833
Instance_1/Garden,nbv_dopt,3,0,0.5031301975250244,0.6687396168708801,0.46056845784187317,0.6300946474075317
Instance_1/Garden,nbv_dopt,5,0,0.46908873319625854,0.6370712518692017,0.49362295866012573,0.6598899960517883
Instance_1/Lounge,nbv_dopt,3,0,0.4468872845172882,0.6115413904190063,0.5286654233932495,0.6894172430038452
Instance_1/Lounge,nbv_dopt,5,0,0.462331622838974,0.6283799409866333,0.5431956648826599,0.7002668976783752
Instance_1/Lunch_room,nbv_dopt,3,0,0.27464088797569275,0.41255345940589905,0.2402603179216385,0.3716036081314087
Instance_1/Lunch_room,nbv_dopt,5,0,0.3353199362754822,0.48616743087768555,0.3324861526489258,0.4808010458946228
Instance_1/Meeting_room,nbv_dopt,3,0,0.58573979139328,0.7312173247337341,0.5109193325042725,0.6690657138824463
Instance_1/Meeting_room,nbv_dopt,5,0,0.5825103521347046,0.7316239476203918,0.517932653427124,0.6756981611251831
Instance_1/Playground,nbv_dopt,3,0,0.39402469992637634,0.5543397068977356,0.3810984790325165,0.5328632593154907
Instance_1/Playground,nbv_dopt,5,0,0.40406689047813416,0.5682412385940552,0.39779624342918396,0.5500120520591736
Instance_1/Porch,nbv_dopt,3,0,0.6016289591789246,0.7427372932434082,0.4976261556148529,0.6408599615097046
Instance_1/Porch,nbv_dopt,5,0,0.6232495903968811,0.762210488319397,0.5302342772483826,0.6742280721664429
Instance_1/Pots,nbv_dopt,3,0,0.6307291984558105,0.7713587284088135,0.5329952836036682,0.6885198354721069
Instance_1/Pots,nbv_dopt,5,0,0.5769129991531372,0.7279631495475769,0.6037314534187317,0.7489354610443115
Instance_1/Printing_area,nbv_dopt,3,0,0.6767409443855286,0.7845602631568909,0.6008683443069458,0.7464114427566528
Instance_1/Printing_area,nbv_dopt,5,0,0.6868715286254883,0.8005781173706055,0.6114164590835571,0.7535310983657837
Instance_1/Zen,nbv_dopt,3,0,0.2506723999977112,0.33896979689598083,0.22074465453624725,0.33905503153800964
Instance_1/Zen,nbv_dopt,5,0,0.2244272232055664,0.3147740960121155,0.2858143746852875,0.42299026250839233
Instance_1/Cantina,uniform,2,0,0.40382808446884155,0.5746150016784668,0.3722315728664398,0.5309557914733887
Instance_1/Garden,uniform,2,0,0.5597311854362488,0.7063260078430176,0.34821876883506775,0.511147141456604
Instance_1/Lounge,uniform,2,0,0.542799711227417,0.7034390568733215,0.5315237641334534,0.6931764483451843
Instance_1/Lunch_room,uniform,2,0,0.4861110746860504,0.6517682075500488,0.2668464779853821,0.3968665599822998
Instance_1/Meeting_room,uniform,2,0,0.38173913955688477,0.550750195980072,0.35018616914749146,0.5129413604736328
Instance_1/Playground,uniform,2,0,0.6118042469024658,0.7591173648834229,0.35804998874664307,0.5165152549743652
Instance_1/Porch,uniform,2,0,0.5416315197944641,0.702064573764801,0.38395586609840393,0.5341442823410034
Instance_1/Pots,uniform,2,0,0.7009923458099365,0.8241854906082153,0.5959566235542297,0.7412717938423157
Instance_1/Printing_area,uniform,2,0,0.466086745262146,0.6083389520645142,0.39604559540748596,0.5523580312728882
Instance_1/Zen,uniform,2,0,0.5511447191238403,0.6880927085876465,0.46297699213027954,0.6256886124610901
Instance_1/Cantina,uniform,8,0,0.4576631784439087,0.6130274534225464,0.5064958333969116,0.6651650071144104
Instance_1/Garden,uniform,8,0,0.5063719153404236,0.667643129825592,0.502439558506012,0.6680989265441895
Instance_1/Lounge,uniform,8,0,0.5776669383049011,0.7319566011428833,0.5404943227767944,0.7006208300590515
Instance_1/Lunch_room,uniform,8,0,0.41331660747528076,0.577173113822937,0.34752655029296875,0.49565285444259644
Instance_1/Meeting_room,uniform,8,0,0.5083739757537842,0.6715117692947388,0.5270845890045166,0.6871590614318848
Instance_1/Playground,uniform,8,0,0.45830294489860535,0.6156333684921265,0.4180649220943451,0.5765455365180969
Instance_1/Porch,uniform,8,0,0.5162939429283142,0.6745508909225464,0.5273202657699585,0.6833580136299133
Instance_1/Pots,uniform,8,0,0.6158982515335083,0.7581764459609985,0.6167035102844238,0.757865309715271
Instance_1/Printing_area,uniform,8,0,0.5951483845710754,0.7436258792877197,0.5646856427192688,0.7123827338218689
Instance_1/Zen,uniform,8,0,0.39556342363357544,0.5310909748077393,0.4576437771320343,0.6125034093856812
Instance_1/Cantina,uniform,10,0,0.41123729944229126,0.5766160488128662,0.48307907581329346,0.6450591087341309
Instance_1/Garden,uniform,10,0,0.4756217896938324,0.6389626264572144,0.47136637568473816,0.636827290058136
Instance_1/Lounge,uniform,10,0,0.556197464466095,0.7106609344482422,0.5260268449783325,0.685118556022644
Instance_1/Lunch_room,uniform,10,0,0.41498786211013794,0.5709241628646851,0.3889658451080322,0.5434489250183105
Instance_1/Meeting_room,uniform,10,0,0.5041685104370117,0.6655092239379883,0.513089656829834,0.6742091178894043
