scene,scalar,spearman_tp_purity,weighted_spearman,auroc_tp_supported,n_valid,frac_tp_supported
Porch,n_dir_obs,0.08908263021446117,-0.0664852551053684,0.5254722540539448,78467,0.48124689359858286
Porch,c_raw,-0.06308755478657956,-0.1097890855936566,0.4965861626078854,78467,0.48124689359858286
Porch,confidence,0.08480329196966645,-0.07298044823226027,0.5066178852218292,78467,0.48124689359858286
Porch,verification,-0.1114430248097482,-0.11295534207506719,0.4856057724359137,78467,0.48124689359858286
Pots,m,0.2590321591053595,0.04898282448613066,0.6723157725609212,8715,0.2438324727481354
Pots,a,0.5752861308547216,0.15509414579817501,0.7525489958046951,8715,0.2438324727481354
Pots,b,0.13468091959385625,-0.045867309590578734,0.44600553423190215,8715,0.2438324727481354
Pots,kappa,0.5534748270727429,0.15527990527392088,0.7338310095510131,8715,0.2438324727481354
Pots,e_pos,0.5752861308547216,0.15509414579817501,0.7525489958046951,8715,0.2438324727481354
Pots,e_neg,0.13468091959385625,-0.045867309590578734,0.44600553423190215,8715,0.2438324727481354
Pots,support,0.5534748270727429,0.15527990527392088,0.7338310095510131,8715,0.2438324727481354
Pots,n_view,0.6294356066540955,0.18219277509778367,0.7937526733910559,8715,0.2438324727481354
Pots,agreement,0.37465968786446674,0.1303632146654611,0.7306487190931,8715,0.2438324727481354
Pots,uncertainty,-0.3352304876101819,-0.1427134611700643,0.29065928769079713,8715,0.2438324727481354
Pots,cue_variance,-0.0395029685328568,0.007255059210033168,0.4227121306792823,8715,0.2438324727481354
Pots,pos_neg_ratio,0.17958101068036064,0.03670517672610054,0.665991466571454,8715,0.2438324727481354
Pots,loo_min,0.1783320093380927,0.08715854747545239,0.6475868963670446,8715,0.2438324727481354
Pots,loo_median,0.4121878368455774,0.13490741495166333,0.7497143265196822,8715,0.2438324727481354
Pots,loo_max,0.5821992766342929,0.1773659623984897,0.8170847094528252,8715,0.2438324727481354
Pots,n_agree,0.6186044844507156,0.1810748425647401,0.7835048469160046,8715,0.2438324727481354
Pots,n_conflict,-0.1505417489660734,-0.05726290559914656,0.42803777559582257,8715,0.2438324727481354
Pots,n_loo_valid,0.6296073503949493,0.18350451076877491,0.7947733999821477,8715,0.2438324727481354
Pots,observability,-0.038671287382110155,0.0008948413891944746,0.4382513255378024,8715,0.2438324727481354
Pots,g_raw,-0.155459813490087,-0.012974524884327505,0.3994040881906632,8715,0.2438324727481354
Pots,eig_min,-0.002980647761293913,0.031549391449886444,0.4766144782647505,8715,0.2438324727481354
Pots,eig_max,-0.2724882522271391,-0.043778926748368426,0.33696509863429436,8715,0.2438324727481354
Pots,condition,-0.5164820457088487,-0.11607842950218245,0.2423591537980898,8715,0.2438324727481354
Pots,n_dir_obs,0.6961508733978506,0.20441697414607937,0.8361558154065876,8715,0.2438324727481354
Pots,c_raw,0.18625069068537078,0.04882562045083492,0.6312525573507096,8715,0.2438324727481354
Pots,confidence,0.44677717491675084,0.12761965661453864,0.6928209943765062,8715,0.2438324727481354
