scene,phase,combo,miou_query,f1_query
Cantina,local3,1-4-9-14-21,0.470948,0.630852
Printing_area,local3,2-3-11-12-16,0.619488,0.762558
Lounge,local3,0-9-10-19-23,0.570462,0.726023
Zen,local3,8-9-15-21-23,0.500817,0.659101
Lunch_room,local3,3-9-11-20-23,0.270984,0.403324
Cantina,local3,1-2-14-20-22,0.468704,0.629096
Printing_area,local3,0-2-10-11-12,0.599869,0.747105
Lounge,local3,6-7-18-19-20,0.551035,0.708887
Zen,local3,2-15-16-18-23,0.561341,0.714470
Printing_area,local3,0-2-6-12-17,0.519939,0.675571
Cantina,local3,9-10-14-18-20,0.480214,0.629459
Lunch_room,local3,3-11-14-21-22,0.294766,0.433807
Zen,local3,10-11-15-16-23,0.564156,0.717805
Printing_area,local3,2-10-11-16-24,0.675198,0.803205
Lunch_room,local3,1-3-20-21-24,0.423922,0.575532
Zen,local3,2-9-12-15-23,0.537093,0.692833
Printing_area,local3,2-8-10-11-16,0.684137,0.810012
Lunch_room,local3,3-10-15-22-24,0.263400,0.397543
Zen,local3,1-2-11-16-23,0.564560,0.717494
Printing_area,local3,0-2-10-12-24,0.597683,0.745282
Printing_area,local3,2-9-10-11-12,0.687526,0.811769
Zen,local3,2-15-16-21-23,0.553347,0.708129
Lunch_room,local3,1-3-11-20-22,0.388177,0.540552
Printing_area,local3,1-2-10-12-16,0.594453,0.741719
Zen,local3,11-15-16-19-22,0.534941,0.694889
Lunch_room,local3,3-6-8-20-22,0.288456,0.419005
Printing_area,local3,2-3-10-12-16,0.601369,0.748090
Zen,local3,2-10-15-16-23,0.571530,0.724158
Lunch_room,local3,1-3-5-19-22,0.411376,0.564121
Printing_area,local3,2-11-12-13-17,0.660292,0.792908
Zen,local3,2-4-11-15-16,0.443436,0.584400
Lunch_room,local3,1-2-5-8-22,0.385331,0.533368
Printing_area,local3,2-7-11-12-16,0.660238,0.792923
Zen,local3,11-14-15-16-23,0.544453,0.700091
Printing_area,local3,2-3-10-11-19,0.630452,0.771592
Lunch_room,restart3,8-11-12-16-23,0.259851,0.394087
Zen,local3,11-15-16-19-23,0.563057,0.718402
Printing_area,local3,0-2-12-15-16,0.574774,0.726338
Lunch_room,local3,8-9-10-11-12,0.217432,0.333746
Zen,local3,7-11-15-16-23,0.487494,0.650649
Printing_area,local3,5-11-13-16-24,0.627523,0.759545
Zen,local3,7-9-15-16-23,0.476928,0.639543
Lunch_room,local3,8-11-12-16-22,0.257168,0.388537
Printing_area,local3,2-11-12-13-16,0.670924,0.800818
Zen,local3,2-10-11-16-20,0.558375,0.711046
Printing_area,local3,1-6-11-15-16,0.601874,0.743757
Lunch_room,local3,8-9-11-12-16,0.228364,0.350058
Zen,local3,2-8-11-14-17,0.501974,0.663817
Printing_area,local3,10-11-12-14-16,0.661104,0.783467
Lunch_room,local3,1-8-11-12-16,0.321942,0.463904
Zen,local3,2-11-15-18-23,0.581418,0.731894
Printing_area,restart3,1-6-21-22-23,0.581081,0.728673
Lunch_room,local3,8-9-11-17-21,0.266191,0.392521
Printing_area,local3,5-15-19-21-23,0.584880,0.726518
Zen,local3,4-9-11-15-18,0.352277,0.493279
Lunch_room,local3,8-11-12-16-18,0.286331,0.427798
Printing_area,local3,1-5-15-18-21,0.565744,0.714661
Zen,local3,1-11-12-18-23,0.574833,0.726578
Printing_area,local3,0-5-20-22-23,0.610578,0.746456
Lunch_room,local3,2-8-12-13-21,0.331577,0.477420
Zen,local3,9-11-12-15-18,0.526864,0.686343
Printing_area,local3,5-13-20-22-23,0.637582,0.766133
Lunch_room,local3,1-2-8-12-13,0.342510,0.486628
Zen,local3,2-11-12-15-18,0.568963,0.719757
Printing_area,local3,5-13-19-20-23,0.640849,0.769237
Zen,local3,2-11-14-15-23,0.524418,0.680892
Lunch_room,local3,1-8-12-13-16,0.339251,0.482810
Printing_area,local3,5-11-13-20-23,0.630180,0.760838
Zen,local3,0-15-18-22-23,0.529335,0.685029
Lunch_room,local3,0-5-12-13-23,0.319573,0.467830
Printing_area,local3,5-11-13-15-20,0.619061,0.752315
Zen,local3,2-6-15-17-24,0.410094,0.577820
Printing_area,local3,13-19-20-23-24,0.646342,0.772572
Lunch_room,local3,1-2-4-12-13,0.329077,0.473954
Zen,local3,11-15-18-19-20,0.556954,0.713630
Printing_area,local3,1-9-18-19-20,0.469495,0.620440
Lunch_room,local3,1-8-13-16-20,0.387989,0.536290
Zen,local3,2-15-18-22-23,0.562490,0.716443
Printing_area,local3,10-12-13-17-23,0.616809,0.750079
Lunch_room,local3,1-8-16-20-22,0.410803,0.560762
Printing_area,local3,6-19-20-23-24,0.582970,0.725949
Zen,local3,1-11-15-18-23,0.559660,0.714435
