scene,frame,tox_mass,tox_frac,support,cue_area,marginal,tox_rank,known_toxic
Garden,11,137981.14,0.8812,0.1427,156581.28,-0.00572,5,False
Garden,12,170224.67,0.8982,0.1109,189527.98,0.00277,2,False
Garden,13,128223.31,0.8874,0.1305,144493.47,-0.02641,6,False
Garden,14,107688.73,0.9291,0.0838,115904.98,0.00589,22,False
Garden,15,113414.56,0.9240,0.0998,122746.46,-0.00888,17,False
Garden,16,115376.28,0.9299,0.0866,124076.66,0.00296,15,False
Garden,17,112986.75,0.9300,0.0875,121495.09,-0.00412,18,False
Garden,18,124524.27,0.9372,0.0734,132863.42,0.00159,8,False
Garden,19,119696.33,0.9143,0.1024,130914.59,0.00593,11,False
Garden,20,99173.28,0.9081,0.1154,109204.52,-0.00250,24,False
Garden,21,116694.55,0.9315,0.0863,125281.70,0.00531,12,False
Garden,22,116207.00,0.9073,0.1101,128078.16,-0.00993,13,False
Garden,23,151420.88,0.8424,0.1818,179750.47,-0.04096,4,False
Garden,24,109939.31,0.9232,0.1005,119090.41,-0.00728,20,False
Lounge,0,127462.48,0.9159,0.1038,139166.48,0.02351,13,False
Lounge,1,121337.69,0.9288,0.0831,130637.47,0.01206,16,False
Lounge,2,126774.12,0.9015,0.1201,140620.69,-0.00320,14,False
Lounge,3,108360.59,0.9043,0.1179,119828.84,0.00629,21,False
Lounge,4,155517.72,0.9506,0.0611,163594.31,-0.01360,4,False
Lounge,5,155207.12,0.9361,0.0806,165806.86,0.00380,5,False
Lounge,6,146731.97,0.9245,0.0937,158721.42,0.00244,8,False
Lounge,7,139076.27,0.9143,0.1100,152110.64,-0.00321,9,False
Lounge,8,138488.58,0.9185,0.0974,150769.30,-0.00701,10,False
Lounge,9,106527.25,0.9097,0.1110,117101.34,-0.01864,23,False
Lounge,10,103374.23,0.9140,0.1024,113103.97,0.00568,25,False
Lounge,11,113924.98,0.9209,0.0934,123706.44,0.00284,20,False
Lounge,12,119899.70,0.9088,0.1102,131928.38,-0.00410,17,False
Lounge,13,126147.64,0.9177,0.1029,137458.66,-0.00720,15,False
Lounge,14,103634.34,0.9139,0.1057,113398.05,-0.00515,24,False
Lounge,15,119620.27,0.9315,0.0838,128416.58,-0.00625,18,False
Lounge,16,164672.89,0.8954,0.1187,183918.08,-0.02133,2,False
Lounge,17,129606.98,0.9345,0.0834,138695.55,-0.00304,11,False
Lounge,18,152717.33,0.9367,0.0790,163039.53,0.00227,7,False
Lounge,19,128317.77,0.9126,0.1076,140604.55,-0.00089,12,False
Lounge,20,108144.41,0.9133,0.1039,118410.81,0.00280,22,False
