scene,phase,combo,miou_query,f1_query
Printing_area,local3,3-5-7-12-13,0.520694,0.679772
Zen,local3,5-12-13-17-23,0.420639,0.572109
Printing_area,local3,1-9-11-12-21,0.548377,0.702728
Zen,local3,5-13-16-17-23,0.412821,0.561466
Printing_area,local3,0-7-10-13-24,0.486900,0.647572
Zen,local3,0-5-13-23-24,0.410583,0.563542
Printing_area,local3,1-4-12-20-24,0.498208,0.657809
Zen,local3,5-6-12-13-18,0.346499,0.500820
Printing_area,local3,6-14-19-20-24,0.526095,0.680599
Zen,local3,5-9-12-13-23,0.412698,0.566518
Printing_area,local3,4-7-12-13-24,0.485377,0.643940
Printing_area,local3,1-3-13-22-24,0.517287,0.673547
Zen,local3,5-10-13-17-23,0.423548,0.575985
Printing_area,local3,8-11-12-20-24,0.539625,0.690120
Zen,local3,1-7-10-13-16,0.394427,0.552828
Printing_area,local3,7-11-12-13-17,0.542587,0.693128
Zen,local3,5-10-15-17-23,0.456908,0.619362
Printing_area,local3,4-5-13-20-21,0.509847,0.667459
Zen,local3,5-9-15-17-22,0.445200,0.608465
Printing_area,local3,12-13-15-20-24,0.546963,0.694985
Zen,local3,7-13-15-17-23,0.374603,0.530423
Printing_area,local3,6-12-13-20-24,0.551830,0.702847
Zen,local3,4-5-10-15-23,0.375949,0.527497
Printing_area,local3,4-12-13-20-24,0.534919,0.688912
Zen,local3,1-9-12-15-23,0.448608,0.612584
Printing_area,local3,7-12-13-20-24,0.552438,0.700790
Zen,local3,1-5-10-15-23,0.480741,0.645731
Printing_area,local3,1-3-7-12-20,0.507696,0.665436
Zen,local3,1-10-15-16-23,0.475707,0.640346
Printing_area,local3,1-2-12-20-23,0.556872,0.712650
Zen,local3,1-9-10-16-23,0.459276,0.624510
Printing_area,local3,6-10-12-14-20,0.543957,0.695735
Printing_area,local3,1-5-18-20-24,0.515313,0.676548
Zen,local3,1-3-5-15-23,0.449688,0.610958
Printing_area,local3,1-10-12-13-23,0.566634,0.718956
Zen,local3,1-2-5-10-23,0.489764,0.652655
Printing_area,local3,12-13-14-20-24,0.563842,0.709471
Zen,local3,1-5-7-10-13,0.412720,0.568949
Printing_area,local3,9-12-13-20-24,0.558355,0.706205
Zen,local3,2-5-9-10-22,0.514462,0.676981
Printing_area,local3,1-13-14-20-24,0.577672,0.724053
Zen,local3,1-4-9-10-19,0.287514,0.424944
Printing_area,local3,12-13-15-20-21,0.542451,0.691060
Zen,local3,2-4-5-14-19,0.423736,0.582842
Printing_area,local3,1-8-13-14-22,0.547814,0.701789
Zen,local3,5-9-10-12-22,0.481528,0.645845
Printing_area,local3,1-11-13-20-24,0.572233,0.721841
Zen,local3,0-2-5-9-14,0.486075,0.651004
Printing_area,local3,12-13-14-18-22,0.535092,0.685283
Printing_area,local3,12-13-19-22-24,0.540922,0.690352
Zen,local3,2-4-5-9-22,0.403214,0.555269
Zen,local3,2-5-10-16-22,0.490371,0.653662
Zen,local3,1-5-7-9-23,0.469907,0.635215
Zen,local3,2-9-10-15-22,0.464524,0.626851
Zen,local3,2-3-4-9-10,0.356312,0.506475
Zen,local3,2-3-5-10-22,0.467478,0.628653
Zen,local3,2-5-9-12-22,0.513043,0.675600
Zen,local3,0-2-5-10-22,0.477256,0.642438
Zen,local3,1-2-9-10-22,0.456505,0.619483
Zen,local3,2-5-10-19-22,0.494077,0.658427
Zen,local3,2-10-11-21-22,0.485565,0.648029
Zen,local3,4-5-9-10-12,0.341548,0.492331
