scene,phase,combo,miou_query,f1_query
Meeting_room,local3,4-13-19-22-23,0.492510,0.654434
Playground,local3,0-4-11-15-18,0.441380,0.599308
Porch,local3,7-9-11-14-24,0.460305,0.611668
Pots,local3,9-13-17-20-24,0.568810,0.722454
Lounge,local3,3-4-6-13-23,0.479498,0.645459
Lunch_room,local3,1-3-5-11-12,0.392085,0.548445
Cantina,local3,3-10-13-14-20,0.524286,0.680308
Meeting_room,local3,4-6-13-22-23,0.501825,0.662954
Garden,local3,1-10-12-15-16,0.452499,0.620844
Playground,local3,0-2-4-15-18,0.414613,0.572587
Porch,local3,1-14-18-19-21,0.550660,0.697327
Lounge,local3,1-3-6-10-13,0.471187,0.637209
Pots,local3,4-9-14-17-20,0.592457,0.740136
Cantina,local3,0-3-10-14-20,0.496718,0.655056
Meeting_room,local3,4-9-13-15-24,0.504559,0.662950
Lunch_room,local3,1-6-14-17-23,0.355477,0.500453
Garden,local3,5-6-10-15-16,0.529562,0.691470
Playground,local3,0-4-9-12-15,0.440884,0.599337
Lounge,local3,3-6-13-17-22,0.511771,0.674533
Pots,local3,7-9-17-20-24,0.565112,0.718899
Porch,local3,4-5-9-11-24,0.586430,0.735427
Meeting_room,local3,2-6-9-10-13,0.513749,0.674860
Cantina,local3,3-10-11-14-20,0.511968,0.668774
Lounge,local3,3-6-8-10-18,0.518391,0.680831
Lunch_room,local3,0-1-5-6-11,0.381362,0.529091
Playground,local3,0-4-12-15-18,0.425556,0.585373
Garden,local3,5-7-10-17-21,0.517603,0.680651
Pots,local3,2-3-4-10-24,0.547402,0.698337
Porch,local3,2-4-6-12-19,0.491762,0.642874
Cantina,local3,9-10-13-18-20,0.456196,0.603876
Meeting_room,local3,4-9-16-19-22,0.517778,0.675805
Lounge,local3,4-8-10-14-18,0.477785,0.644363
Playground,local3,0-4-15-18-20,0.428102,0.586327
Lunch_room,local3,1-2-5-6-11,0.379557,0.530501
Garden,local3,8-12-16-17-24,0.483648,0.649489
Pots,local3,2-4-17-20-24,0.550338,0.702890
Porch,local3,3-9-19-23-24,0.508555,0.658619
Meeting_room,local3,4-9-16-21-22,0.518184,0.675553
Cantina,local3,10-11-13-14-20,0.456815,0.608702
Lounge,local3,6-8-10-18-22,0.506775,0.670676
Playground,local3,9-10-11-18-19,0.303232,0.459488
Lunch_room,local3,1-5-6-11-21,0.406645,0.555623
Pots,local3,4-9-10-20-21,0.588434,0.735377
Garden,local3,3-5-10-12-16,0.492211,0.659169
Porch,local3,1-4-5-9-24,0.575285,0.724386
Meeting_room,local3,2-4-16-21-22,0.506483,0.665793
Lounge,local3,6-8-9-10-24,0.486330,0.652593
Cantina,local3,3-5-9-14-15,0.505775,0.664574
Playground,local3,0-7-10-11-22,0.398743,0.554907
Pots,local3,4-8-9-12-24,0.587754,0.737423
Garden,local3,6-10-15-16-17,0.497670,0.662877
Lunch_room,local3,1-4-5-6-11,0.388347,0.535876
Porch,local3,4-6-14-17-24,0.536203,0.687484
Meeting_room,local3,9-12-16-21-22,0.505161,0.665137
Lounge,local3,0-3-6-10-18,0.505889,0.669651
Cantina,local3,3-12-18-20-24,0.465542,0.630184
Playground,local3,0-9-11-18-20,0.377065,0.537330
Pots,local3,1-9-16-17-24,0.599362,0.745052
Garden,local3,4-5-10-12-16,0.504604,0.669965
Lunch_room,local3,1-2-5-13-14,0.364571,0.515783
Porch,local3,8-9-10-18-19,0.511644,0.659072
Meeting_room,local3,4-9-11-21-22,0.513424,0.671935
Lounge,local3,7-8-9-18-24,0.469251,0.636059
Cantina,local3,0-3-10-14-15,0.498682,0.657528
Pots,local3,3-4-9-13-21,0.573162,0.721243
Playground,local3,0-11-13-15-18,0.371298,0.532925
Garden,local3,5-7-10-15-16,0.519873,0.682755
Lunch_room,local3,5-11-13-17-19,0.356249,0.513628
Porch,local3,4-9-10-14-19,0.555769,0.705917
Meeting_room,local3,0-12-16-21-22,0.456634,0.618846
Lounge,local3,0-3-6-8-10,0.500400,0.664850
Cantina,local3,12-13-14-20-23,0.475359,0.630957
Pots,local3,16-17-20-21-23,0.571187,0.723679
Playground,local3,0-11-15-16-18,0.367296,0.527596
Garden,local3,2-7-10-11-15,0.497049,0.661649
Meeting_room,local3,4-8-13-15-22,0.508339,0.667552
Lounge,local3,2-10-17-18-19,0.468773,0.634076
Porch,local3,4-6-7-9-14,0.461811,0.623430
Lunch_room,local3,1-5-6-11-18,0.405790,0.556629
Cantina,local3,1-6-13-14-20,0.429572,0.593080
Pots,local3,0-4-11-20-21,0.555966,0.709008
Playground,local3,0-1-4-11-18,0.429647,0.589931
Garden,local3,0-5-10-15-16,0.509253,0.674129
Meeting_room,local3,4-8-9-16-22,0.518988,0.676360
Lounge,local3,6-8-10-11-18,0.521194,0.683259
Porch,local3,4-7-9-14-19,0.487030,0.649157
Cantina,local3,7-8-13-14-23,0.452545,0.612117
Pots,local3,9-12-20-23-24,0.537550,0.695450
Lunch_room,local3,6-8-11-21-22,0.311113,0.444924
Playground,local3,0-2-11-15-18,0.448162,0.605799
Garden,local3,5-10-15-16-21,0.521416,0.684513
Meeting_room,local3,4-7-8-22-23,0.502682,0.661895
Lounge,local3,0-4-6-18-24,0.503065,0.667427
Porch,local3,4-7-9-14-24,0.495335,0.655767
Cantina,local3,3-10-13-14-18,0.524593,0.680163
Pots,local3,0-1-9-12-20,0.548409,0.704652
Playground,local3,0-2-10-11-15,0.445777,0.602561
Lunch_room,local3,1-3-4-12-19,0.360093,0.511000
Garden,local3,5-10-15-18-19,0.529263,0.691389
Meeting_room,local3,5-8-9-16-24,0.486805,0.648807
Lounge,local3,1-8-16-18-21,0.468014,0.631613
Porch,local3,1-4-11-15-24,0.548774,0.695617
Cantina,local3,3-8-10-13-14,0.508829,0.665435
Pots,local3,4-8-14-17-19,0.582787,0.732726
Playground,local3,2-11-13-18-21,0.325633,0.465412
Lunch_room,local3,3-5-6-9-11,0.305204,0.440702
Meeting_room,local3,4-6-8-16-22,0.508555,0.668107
Lounge,local3,6-7-10-11-13,0.478477,0.644674
Garden,local3,5-6-10-13-15,0.519250,0.682788
Porch,local3,9-13-14-19-24,0.475750,0.629486
Cantina,local3,3-10-13-16-18,0.514430,0.670483
Pots,local3,4-6-11-16-24,0.569151,0.722920
Playground,local3,0-2-4-9-12,0.445940,0.604278
Meeting_room,local3,4-8-9-16-17,0.510928,0.669264
Lounge,local3,5-6-8-10-12,0.513857,0.677044
Lunch_room,local3,1-5-6-7-22,0.401639,0.549229
Garden,local3,5-6-13-15-20,0.513008,0.677375
Cantina,local3,5-13-14-18-23,0.446599,0.606371
Porch,local3,9-15-17-19-24,0.550512,0.696209
Pots,local3,4-17-20-23-24,0.589038,0.735170
Playground,local3,1-2-3-15-18,0.385771,0.544194
Meeting_room,local3,4-8-9-16-20,0.507868,0.665718
Lounge,local3,6-8-10-13-18,0.517379,0.680019
Garden,local3,3-5-7-10-12,0.491052,0.658170
Lunch_room,local3,1-3-5-6-24,0.405487,0.556411
Cantina,local3,2-3-13-14-23,0.364893,0.511716
Pots,local3,2-9-17-20-24,0.586096,0.736633
Porch,local3,4-9-14-16-22,0.565320,0.712334
Playground,local3,2-11-13-15-18,0.329549,0.472774
Meeting_room,local3,8-9-13-16-20,0.462858,0.623564
Lounge,local3,5-6-10-11-18,0.524007,0.685342
Garden,local3,10-12-15-16-19,0.518290,0.681671
Cantina,local3,9-10-14-18-22,0.456044,0.603859
Pots,local3,0-3-4-9-11,0.568822,0.719776
Porch,local3,8-12-14-15-24,0.506929,0.650680
Lunch_room,local3,0-6-7-11-17,0.366064,0.512853
Meeting_room,local3,4-8-9-11-16,0.509823,0.668484
Playground,local3,0-5-11-15-17,0.429199,0.585425
Lounge,local3,0-4-5-6-11,0.507389,0.671216
Cantina,local3,3-9-13-14-18,0.520436,0.675848
Garden,local3,3-5-10-16-18,0.479785,0.647586
Pots,local3,4-9-15-17-24,0.591815,0.739642
Porch,local3,0-1-4-9-14,0.468270,0.623671
